Caladenia ×intermedia
Caladenia ×lavandulacea
Caladenia ×resupina
Caladenia ×spectabilis
Caladenia ×suffusa
Caladenia ×triangularis
Caladenia ×tryphera
Caladenia ×tutelata
Caladenia ×variabilis
Caladium ×hortulanum
Calamagrostis ×Ammophila
Calamagrostis ×acutiflora
Calamagrostis ×acutifolia
Calamagrostis ×baltica
Calamagrostis ×filipes
Calamagrostis ×gracilescens
Calamagrostis ×hartmanniana
Calamagrostis ×kolymaensis
Calamagrostis ×neumaniana
Calamagrostis ×strigosa
Calamintha ×jahniana
Calamintha ×mixta
Calammophila ×baltica
Calanthe ×hsinchuensis
Calceolaria ×herbeohybrida
Calibrachoa ×hybrida
Calliandra ×cumbucana
Callicarpa ×shirasawana
Calligonum ×densum
Calligonum ×leucacanthum
Callitriche ×vigens
Calystegia ×scanica
Camellia ×intermedia
Campsis ×tagliabuana
Canna ×generalis
Canna ×ehemanii
Canna ×orchiodes
Cantinoa ×obvallata
Cantinoa ×sylvularum
Capparis ×innocentii
Capsella ×gracilis
Capsella ×sp.
Cardamine ×ferrarii
Cardamine ×ambigua
Cardamine ×insueta
Cardamine ×keckii
Cardamine ×wettsteiniana
Carduus ×cantabricus
Carduus ×medius
Carduus ×nutans
Carduus ×polyacanthus
Carduus ×vilium
Carex  ×crepinii
Carex  ×hosoii
Carex ×caesariensis
Carex ×deamii
Carex ×flavicans
Carex ×grantii
Carex ×knieskernii
Carex ×langeana
Carex ×limosoides
Carex ×limula
Carex ×neofilipendula
Carex ×ohmuellariana
Carex ×paludivagans
Carex ×pseudoaxillaris
Carex ×reducta
Carex ×rotae
Carex ×ruedtii
Carex ×soerensenii
Carex ×spiculosa
Carex ×stenolepis
Carex ×subimpressa
Carex ×subnigricans
Carex ×subpaleacea
Carex ×subviridula
Carex ×sullivantii
Carex ×trichina
Carex ×grahamii
Carex ×saamica
Carex ×abitibiana
Carex ×absconditiformis
Carex ×aestivaliformis
Carex ×anticostensis
Carex ×arctophila
Carex ×boenninghauseniana
Carex ×boenninghausiana
Carex ×deinbolliana
Carex ×dufftii
Carex ×dumanii
Carex ×elytroides
Carex ×exsalina
Carex ×flava
Carex ×friesii
Carex ×fulva
Carex ×gardneri
Carex ×grossii
Carex ×halophila
Carex ×ilseana
Carex ×involuta
Carex ×justi-schmidtii
Carex ×kenaica
Carex ×kneuckeriana
Carex ×lepidocarpa
Carex ×leutzii
Carex ×liljeforsii
Carex ×mainensis
Carex ×neobigelowii
Carex ×neomiliaris
Carex ×neopaleacea
Carex ×nubens
Carex ×oberrodensis
Carex ×oenensis
Carex ×oneillii
Carex ×patuensis
Carex ×physocarpoides
Carex ×pseudo-axillaris
Carex ×pseudohelvola
Carex ×quebecensis
Carex ×quirponensis
Carex ×rostrata
Carex ×salina
Carex ×saxenii
Carex ×Spec.
Carex ×sublima
Carex ×sublimosa
Carex ×vacillans
Carex ×xanthina
Carex ×xanthocarpa
Carica ×heilbornii
Carpinus ×hybrida
Carya ×collina
Carya ×hican
Carya ×brownii
Carya ×dunbarii
Carya ×lecontei
Carya ×ludoviciana
Caryopteris ×clandonensis
Cassia ×nealiae
Cassinia ×adunca
Castanea ×neglecta
Castilleja ×montigena
Catalpa ×erubescens
Catasetum ×altaflorestense
Catasetum ×faustoi
Catasetum ×roseo-album
Catasetum ×tapiriceps
Catasetum ×album-roseo
Catasetum ×dasilvae
Catasetum ×fergusonii
Catasetum ×mesquitae
Catasetum ×nogueirae
Catasetum ×perazolianum
Catasetum ×roseoalbum
Catasetum ×santo-antoniense
Catasetum ×valdisonianum
Cattleya ×duveenii
Cattleya ×feldmanniana
Cattleya ×intrincata
Cattleya ×labendziana
Cattleya ×patrocinii
Cattleya ×St.-Lég.
Ceanothus ×burkwoodii
Ceanothus ×lorenzenii
Ceanothus ×bakeri
Ceanothus ×connivens
Ceanothus ×delilianus
Ceanothus ×flexilis
Ceanothus ×lobbianus
Ceanothus ×mendocinensis
Ceanothus ×otayensis
Ceanothus ×pallidus
Ceanothus ×regius
Ceanothus ×rugosus
Ceanothus ×serrulatus
Ceanothus ×vanrensselaeri
Ceanothus ×veitchianus
Celmisia ×campbellensis
Celmisia ×compacta
Celmisia ×pseudolyallii
Celosia ×huttonii
Celosia ×whitei
Cenchrus ×advena
Cenchrus ×longistylus
Centaurea ×kleinii
Centaurea ×moncktonii
Centaurea ×monktonii
Centaurea ×pratensis
Centaurea ×psammogena
Centaurea ×albufera
Centaurea ×andresiana
Centaurea ×aspera
Centaurea ×austriacoides
Centaurea ×beckeriana
Centaurea ×beszkidiana
Centaurea ×ceballosii
Centaurea ×cuneifolia/diffusa
Centaurea ×decipiens
Centaurea ×extranea
Centaurea ×flavida
Centaurea ×genesii-lopezii
Centaurea ×gerstlaueri
Centaurea ×gusuleaci
Centaurea ×hybrida
Centaurea ×landoziana
Centaurea ×lusitanica
Centaurea ×monckonia
Centaurea ×numantina
Centaurea ×nyaradyana
Centaurea ×oxylepis
